key,keywords,author+an
Yang2017-qg,peerconsortia,
Tukiainen2017-tb,peerconsortia,
Tan2017-xb,peerconsortia,
Saha2017-xo,peerconsortia,
Li2017-hb,peerconsortia,
GTEx_Consortium2017-za,peerconsortia,
Verstappen2020-zt,peerjournal,8=highlight
Su2020-fu,peerjournal,4=highlight
Love2020-wd,peerjournal,3=highlight
Seillet2020-kl,peerjournal,6=highlight
Koay2019-pz,peerjournal,11=highlight
Keniry2019-xt,preprint,7=highlight
Jansz2018-sj,peerjournal,5=highlight
Jansz2018-ho,peerjournal,8=highlight
Hickey2018-nk,peerjournal,2=highlight
Hickey2016-mc,peerjournal,1=highlight
Hickey2019-qu,peerjournal,5=highlight
Trevis2019-le,preprint,5=highlight
Boukas2019-ps,peerjournal,3=highlight
Rizzardi2019-hb,peerjournal,"1=first; 2=highlight,first"
EGTEx_Project2017-qb,peerconsortia,
Phelan2016-gy,peerjournal,5=highlight
Keniry2016-qd,peerjournal,6=highlight
Oey2015-ab,peerjournal,3=highlight
Hickey2014-ba,editorial,1=highlight
Bahlo2010-tp,peerjournal,4=highlight
Hickey2011-tf,peerjournal,1=highlight
Riley2010-am,peerjournal,3=highlight
Lacey2015-ba,peerjournal,2=highlight
